Group,Lineage,Time,Value
PFO+,Lineage 1,336,0.00018
PFO+,Lineage 1,0,100
PFO+,Lineage 1,48,8
PFO+,Lineage 1,96,2
PFO+,Lineage 1,144,0.063
PFO+,Lineage 1,192,0.00083
PFO+,Lineage 1,240,0.00036
PFO+,Lineage 1,288,0.0002
PFO+,Lineage 1,336,0.00016
PFO+,Lineage 8,0,100
PFO+,Lineage 8,48,3.913043478
PFO+,Lineage 8,96,0.5
PFO+,Lineage 8,144,0.083913043
PFO+,Lineage 8,192,0.067391304
PFO+,Lineage 8,240,0.053478261
PFO+,Lineage 8,288,0.047826087
PFO+,Lineage 8,336,0.034782609
